lag_days,r,err,p_local,n_pairs,corr_method,shuffle_method,pc_column,p_global,p_zero_local,p_zero_global,segment_id,segment_label,segment_start,segment_end,segment_center,n_spin_points,n_pc_points
60.0,-0.27360472063184405,0.033743424528861414,0.000999000999000999,940,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
80.0,-0.3718524646502011,0.03371160705183167,0.000999000999000999,920,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
100.0,-0.40454828117509223,0.03368160134987629,0.000999000999000999,900,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
120.0,-0.4425475951150308,0.03373912659921666,0.000999000999000999,880,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
140.0,-0.4295085148779847,0.03424655314460864,0.000999000999000999,860,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
160.0,-0.33547534557283704,0.03474427802091884,0.000999000999000999,840,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
180.0,-0.23768194824502975,0.03459481611488931,0.000999000999000999,820,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
200.0,-0.13192649545028673,0.03562537634218094,0.000999000999000999,800,pearson,permute,PC1,0.000999000999000999,0.000999000999000999,0.000999000999000999,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-200.0,-0.12224744061182208,0.21876760498457942,0.7192807192807192,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-180.0,-0.03360359148862181,0.21546603784226562,0.958041958041958,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-160.0,0.06845211974911324,0.21530307116149933,0.8631368631368631,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-140.0,0.15090181297285543,0.2200585339820643,0.6373626373626373,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-120.0,0.18819760164979552,0.2234416523879127,0.5094905094905094,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-100.0,0.18285642218639722,0.22257313917996582,0.5344655344655345,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-80.0,0.11154403366091596,0.22157508529338305,0.7512487512487512,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-60.0,0.14465336979088128,0.2214441244656309,0.6683316683316683,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-40.0,0.23201650990720765,0.2222442371258292,0.33666333666333664,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
-20.0,0.23158845294710168,0.22058398717781078,0.3336663336663337,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
0.0,0.23464194413938028,0.2196899598513434,0.29270729270729273,1000,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
20.0,0.12749331531928,0.2216580204108907,0.7182817182817183,980,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
40.0,-0.07213068836219846,0.22786572637584815,0.8251748251748252,960,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
60.0,-0.27360472063184405,0.23475545729760855,0.2727272727272727,940,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
80.0,-0.3718524646502011,0.23766108051378304,0.12387612387612387,920,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
100.0,-0.40454828117509223,0.23911477703535441,0.07992007992007992,900,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
120.0,-0.4425475951150308,0.24376572879827377,0.04495504495504495,880,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
140.0,-0.4295085148779847,0.24679497209591647,0.08291708291708291,860,pearson,circular,PC1,0.4205794205794206,0.29270729270729273,1.0,1,seg01_49995.1_50995.1,49995.067,50995.067,50495.067,1000,1201
